class,icd10,disease,Inf_sexual,Inf_resp,Inf_Enteric,Inf_tropical,Inf_other,Maternal,Neonatal,Nutritionaldeficiencies,Neoplasms,cvd,chronic_resp,Dis_Digestive,Dis_Neurological,Dis_Mental,Dis_Substanceuse,Diabetes,Chronickidney,Skin,Senseorgan,Glaucoma,Cataract,Musculoskeletal,Congenitalbirthdefects,Urinary_maleinfertility,Gynecological,Hemoglobinopathies_hemolytic,Endocrinemetabolicimmune,Dis_oral,Inj_Transport,Inj_Unintentional
总计,W23.903,被物体夹住,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X45.903,甲醇意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W10.902,从斜坡上跌倒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W34.908,玩具枪伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.929,油膝稀释剂意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W40.905,炸药爆炸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W44.906,呕吐物引起的损伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W01.902,绊倒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,Y60.301,自注毒品意外损伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W45.902,钉子刺伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W24.902,接触钢丝的损伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W55.905,猫咬伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W56.901,螃蟹狭伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.930,蓖麻子意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,V09.202,行人被机动车辆碾过,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
总计,W17.903,自车上坠落,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.931,锰意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W27.902,针刺伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X40.905,曲马多意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W45.903,竹签刺伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W49.904,钢筋引起的损伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X58.901,性生活意外损伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W20.901,砸伤(撞伤),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W23.901,意外物体压伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W25.901,玻璃割伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W26.801,军训中意外刀刺伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W26.901,刀刺伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W27.901,非动力手工工具和器具伤(斧、叉子、手锯等）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W31.901,机器造成的事故,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W32.901,手枪意外射击伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W33.901,非战争中军用火器伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W33.902,猎枪意外射击伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W33.903,猎枪伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W34.901,火器射击引起的事故,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W34.902,枪击伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W34.903,意外枪伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X46.002,煤油意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.926,误服醋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W26.902,刀伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,V79.301,公共汽车乘员在未特指的非交通事故中的损伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
总计,V79.801,公共汽车乘员被公共汽车的门或其他部位夹住,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
总计,W87.901,电流引起烧伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W87.902,电流引起的事故,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W88.901,X线，电磁引起电离辐射烧伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W88.902,放射性损害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W88.903,加速器引起烧伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W89.901,紫外线辐射引起烧伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W90.901,红外线辐射引起烧伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W91.901,辐射性烧伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W92.901,人为热源效应,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W93.901,人为冷源效应,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W94.901,航空病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W94.902,绞缢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X12.901,沸水烫伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X12.902,热液气引起烧伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X19.901,其他烫伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X19.902,热体性烧伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X19.903,意外烫伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X20.901,毒蛇咬伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X26.901,毒鱼咬伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X26.902,水母蜇伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X26.903,有毒海生动物或植物的中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
